Session,Segments,Timestamp Log,Timecode,User_1,User_1_Pos,User_1_Role,Type,Emotion,Target_1,Target_1_Pos,Target_1_Role,Target_2,Target_2_Pos,Target_2_Role
Session 2,s2,2020-11-21T09:03:47.327618,2000-01-01 09:03:47,Melanie,D,Econome,Feeling,colere,Cyril,A,Corporate,,,
Session 2,s2,2020-11-21T09:03:48.951784,2000-01-01 09:03:48,Cyril,A,Corporate,Feeling,tristesse,theme,theme,theme,groupe,groupe,groupe
Session 2,s2,2020-11-21T09:03:54.519507,2000-01-01 09:03:54,Melanie,D,Econome,Feeling,joie,theme,theme,theme,Bastien,C,Ecolo
Session 2,s2,2020-11-21T09:03:55.794567,2000-01-01 09:03:55,Bastien,C,Ecolo,Feeling,joie,comportement,comportement,comportement,Aurore,B,Presse
Session 2,s3,2020-11-21T09:06:13.359965,2000-01-01 09:06:13,Melanie,D,Econome,Feeling,colere,Cyril,A,Corporate,,,
Session 2,s3,2020-11-21T09:06:45.521778,2000-01-01 09:06:45,Bastien,C,Ecolo,Feeling,colere,temps,temps,temps,Cyril,A,Corporate
Session 2,s3,2020-11-21T09:06:52.195577,2000-01-01 09:06:52,Cyril,A,Corporate,Feeling,tristesse,Melanie,D,Econome,,,
Session 2,s3,2020-11-21T09:06:57.791266,2000-01-01 09:06:57,Cyril,A,Corporate,Feeling,colere,Bastien,C,Ecolo,,,
Session 2,s3,2020-11-21T09:06:58.661582,2000-01-01 09:06:58,Melanie,D,Econome,Feeling,joie,Bastien,C,Ecolo,,,
Session 2,s3,2020-11-21T09:07:00.331159,2000-01-01 09:07:00,Robot,Robot,Robot,Transmission,colere,groupe,groupe,groupe,,,
Session 2,s3,2020-11-21T09:07:08.483909,2000-01-01 09:07:08,Aurore,B,Presse,Feeling,joie,theme,theme,theme,Bastien,C,Ecolo
Session 2,s3,2020-11-21T09:07:38.292129,2000-01-01 09:07:38,Melanie,D,Econome,Feeling,joie,Aurore,B,Presse,,,
Session 2,s3,2020-11-21T09:07:53.916638,2000-01-01 09:07:53,Bastien,C,Ecolo,Feeling,joie,theme,theme,theme,Aurore,B,Presse
Session 2,s3,2020-11-21T09:07:56.864392,2000-01-01 09:07:56,Robot,Robot,Robot,Transmission,joie,groupe,groupe,groupe,theme,theme,theme
Session 2,s3,2020-11-21T09:08:01.308589,2000-01-01 09:08:01,Aurore,B,Presse,Feeling,colere,temps,temps,temps,Cyril,A,Corporate
